paper_id,title,year,journal,sjr_quartile,citations,quality_score,pipeline_status,rq_tags,abstract
P009,AI-Driven Cloud Security: Examining the Impact of User Behavior Analysis on Threat Detection,2024.0,Asian Journal of Research in Computer Science,,100.0,5.05,INCLUDED,,"This study explores the comparative effectiveness of AI-driven user behavior analysis and traditional security measures in cloud computing environments. It specifically examines their accuracy, speed, and predictive capabilities in detecting and responding to cyber threats. As reliance on cloud-based solutions intensifies, the integration of Artificial Intelligence (AI) and machine learning into cloud security has become increasingly vital. The research focuses on how AI-driven security systems, with their advanced pattern recognition and anomaly detection, compare to traditional methods in identifying deviations from standard user behaviors in cloud settings. Employing a quantitative approach, the study utilizes a detailed survey strategy, targeting cybersecurity professionals across multiple industries, including finance, healthcare, information technology, retail, and government sectors. The survey, comprising both closed-ended and Likert-scale questions, is designed to elicit nuanc"
P010,Unleashing efficiency and insights: Exploring the potential applications and challenges of ChatGPT in accounting,2023.0,Journal of Corporate Accounting & Finance,Q3,60.0,5.2,INCLUDED,,"Abstract ChatGPT, an advanced natural language processing (NLP) model based on GPT‐4 architecture, demonstrates exceptional ability in comprehending, interpreting, and generating human‐like writings. Our study explores ChatGPT's potential applications and challenges in the accounting field. With cutting‐edge NLP capabilities, ChatGPT has the prospect of reshaping various accounting processes by automating repetitive tasks, enhancing financial and managerial reporting and analysis, improving auditing and tax practices, and simplifying client interactions. Meanwhile, recognizing and mitigating possible limitations are vital to ensure the ethical and reliable utilization of AI and NLP techniques in the accounting and business sectors. Our study provides practical insights for accounting professionals, policymakers, investors, and other stakeholders to leverage this cutting‐edge technology to revolutionize the accounting profession, echoing society's ideal blueprint for a promising AI‐empo"
P011,INTEGRATING AI WITH BLOCKCHAIN FOR ENHANCED FINANCIAL SERVICES SECURITY,2024.0,Finance & Accounting Research Journal,Q3,53.0,6.4,INCLUDED,,"Integrating artificial intelligence (AI) with blockchain technology presents a transformative approach to enhancing security in financial services. This fusion leverages the strengths of both AI and blockchain to mitigate various security risks, including fraud, data breaches, and identity theft, thereby bolstering trust and confidence in financial transactions. This abstract explores the synergies between AI and blockchain, highlighting their combined capabilities, applications, and potential benefits for the financial services industry. AI algorithms, including machine learning and natural language processing, empower financial institutions to analyze vast amounts of data in real-time, identifying patterns, anomalies, and suspicious activities indicative of fraudulent behavior. By integrating AI-powered fraud detection systems with blockchain-based transactional networks, organizations can enhance security and transparency throughout the entire financial ecosystem. Blockchain's immut"
P012,EVOLVING TAX COMPLIANCE IN THE DIGITAL ERA: A COMPARATIVE ANALYSIS OF AI-DRIVEN MODELS AND BLOCKCHAIN TECHNOLOGY IN U.S. TAX ADMINISTRATION,2024.0,Computer Science & IT Research Journal,,52.0,5.05,INCLUDED,,"This paper aims to provide a comprehensive review of the integration of artificial intelligence (AI) and blockchain technology in U.S. tax administration. It explores how these technologies are revolutionizing tax compliance and fraud detection, offering a comparative analysis with traditional methods. The paper highlights the potential benefits of these technologies in enhancing efficiency, accuracy, and transparency in tax administration, aligning with the U.S. government's objectives of ensuring fiscal integrity and public trust. The review also examines international best practices and proposes how the U.S. can leverage these technologies to maintain its global leadership in financial governance and innovation. The study is structured around four key objectives: assessing the current integration of AI and blockchain in tax administration, evaluating their effectiveness in enhancing tax compliance, identifying implementation challenges, and developing strategic recommendations. Empl"
P013,The Role of IT Governance in the Integration of AI in Accounting and Auditing Operations,2024.0,Economies,Q2,50.0,5.7,INCLUDED,,"IT governance is a framework that manages the efficient use of information technology within an organization, focusing on strategic alignment, risk management, resource management, performance measurement, compliance, and value delivery. This study investigates the role of IT governance in integrating artificial intelligence (AI) in accounting and auditing operations. Data were collected from 228 participants from Saudi Arabia using a combination of convenience sampling and snowball sampling methods. The collected data were then analyzed using structural equation modeling. Unexpectedly, the results demonstrate that AI, big data analytics, cloud computing, and deep learning technologies significantly enhance accounting and auditing functions’ efficiency and decision-making capabilities, leading to improved financial reporting and audit processes. The results highlight that IT governance plays a crucial role in managing the complexities of AI integration, aligning business strategies wit"
P014,Anomaly Detection in Smart Environments: A Comprehensive Survey,2024.0,IEEE Access,Q1,49.0,7.05,INCLUDED,,"Anomaly detection is a critical task in ensuring the security and safety of infrastructure and individuals in smart environments. This paper provides a comprehensive analysis of recent anomaly detection solutions in data streams supporting smart environments, with a specific focus on multivariate time series anomaly detection in various environments, such as smart home, smart transport, and smart industry. The aim is to offer a thorough overview of the current state-of-the-art in anomaly detection techniques applicable to these environments. This includes an examination of publicly available datasets suitable for developing these techniques. The survey is designed to inform future research and practical applications in the field, serving as a valuable resource for researchers and practitioners. It not only reviews a range of state-of-the-art anomaly detection methods, from statistical and proximity-based to those adopting deep learning-methods but also covers fundamental aspects of ano"
P015,A Review of Neural Networks for Anomaly Detection,2022.0,IEEE Access,Q1,54.0,6.6,INCLUDED,RQ1,"Anomaly detection is a critical issue across several academic fields and real-world applications. Artificial neural networks have been proposed to detect anomalies from different input types, but there is no clear guide to deciding which model to use in a specific case. Therefore, this study examines the most relevant Neural Network Outlier Detection algorithms in the literature, compares their benefits and drawbacks in some application scenarios, and displays their outcomes in benchmark datasets. The initial search revealed 1422 papers on projects completed between 2017 and 2021. These papers were further narrowed based on title, abstract, quality assessment, inclusion, and exclusion criteria, remaining 76 articles. Finally, we reviewed these publications and verified that Autoencoder Neural Network, Convolutional Neural Network, Recurrent Neural Network, and Generative Adversarial Network have promisor outcomes for outlier detection, the advantages of these neural networks for outlie"
P016,Securing Government Revenue: A Cloud-Based AI Model for Predictive Detection of Tax-Related Financial Crimes,2025.0,International Journal of Computer Applications Technology and Research,,5.0,5.35,INCLUDED,,"In the evolving landscape of digital governance, tax-related financial crimes present a persistent threat to fiscal stability, particularly in emerging economies with fragmented data ecosystems and limited enforcement capabilities.Traditional audit-based approaches to revenue protection are often reactive, inefficient, and incapable of detecting complex, evolving fraud schemes.This paper proposes a cloud-based Artificial Intelligence (AI) framework designed to proactively detect and mitigate tax leakage by leveraging predictive analytics, real-time anomaly detection, and risk modeling.The proposed model integrates machine learning algorithms with tax compliance datasets, financial transaction logs, and third-party economic indicators to flag high-risk entities and patterns indicative of evasion, underreporting, and fictitious invoicing.By deploying the AI model within a secure cloud infrastructure, the system enables scalable, on-demand analytics that align with governmental data prote"
P016,Securing Government Revenue: A Cloud-Based AI Model for Predictive Detection of Tax-Related Financial Crimes,2025.0,International Journal of Computer Applications Technology and Research,,5.0,5.35,INCLUDED,,"In the evolving landscape of digital governance, tax-related financial crimes present a persistent threat to fiscal stability, particularly in emerging economies with fragmented data ecosystems and limited enforcement capabilities.Traditional audit-based approaches to revenue protection are often reactive, inefficient, and incapable of detecting complex, evolving fraud schemes.This paper proposes a cloud-based Artificial Intelligence (AI) framework designed to proactively detect and mitigate tax leakage by leveraging predictive analytics, real-time anomaly detection, and risk modeling.The proposed model integrates machine learning algorithms with tax compliance datasets, financial transaction logs, and third-party economic indicators to flag high-risk entities and patterns indicative of evasion, underreporting, and fictitious invoicing.By deploying the AI model within a secure cloud infrastructure, the system enables scalable, on-demand analytics that align with governmental data prote"
P017,Chained Anomaly Detection Models for Federated Learning: An Intrusion Detection Case Study,2018.0,Applied Sciences,Q2,315.0,5.85,INCLUDED,,"The adoption of machine learning and deep learning is on the rise in the cybersecurity domain where these AI methods help strengthen traditional system monitoring and threat detection solutions. However, adversaries too are becoming more effective in concealing malicious behavior amongst large amounts of benign behavior data. To address the increasing time-to-detection of these stealthy attacks, interconnected and federated learning systems can improve the detection of malicious behavior by joining forces and pooling together monitoring data. The major challenge that we address in this work is that in a federated learning setup, an adversary has many more opportunities to poison one of the local machine learning models with malicious training samples, thereby influencing the outcome of the federated learning and evading detection. We present a solution where contributing parties in federated learning can be held accountable and have their model updates audited. We describe a permission"
P018,Blockchain security enhancement: an approach towards hybrid consensus algorithms and machine learning techniques,2024.0,Scientific Reports,,126.0,5.05,INCLUDED,RQ1,"In this paper, we propose hybrid consensus algorithms that combine machine learning (ML) techniques to address the challenges and vulnerabilities in blockchain networks. Consensus Protocols make ensuring agreement among the applicants in the distributed systems difficult. However, existing mechanisms are more vulnerable to cyber-attacks. Previous studies extensively explore the influence of cyber attacks and highlight the necessity for effective preventive measures. This research presents the integration of ML techniques with the proposed hybrid consensus algorithms and advantages over predicting cyber-attacks, anomaly detection, and feature extraction. Our hybrid approaches leverage and optimize the proposed consensus protocols' security, trust, and robustness. However, this research also explores the various ML techniques with hybrid consensus algorithms, such as Delegated Proof of Stake Work (DPoSW), Proof of Stake and Work (PoSW), Proof of CASBFT (PoCASBFT), Delegated Byzantine Pro"
P019,Deep Learning in the Fast Lane: A Survey on Advanced Intrusion Detection Systems for Intelligent Vehicle Networks,2024.0,IEEE Open Journal of Vehicular Technology,,94.0,5.05,INCLUDED,,"The rapid evolution of modern automobiles into intelligent and interconnected entities presents new challenges in cybersecurity, particularly in Intrusion Detection Systems (IDS) for In-Vehicle Networks (IVNs). This survey paper offers an in-depth examination of advanced machine learning (ML) and deep learning (DL) approaches employed in developing sophisticated IDS for safeguarding IVNs against potential cyber-attacks. Specifically, we focus on the Controller Area Network (CAN) protocol, which is prevalent in in-vehicle communication systems, yet exhibits inherent security vulnerabilities. We propose a novel taxonomy categorizing IDS techniques into conventional ML, DL, and hybrid models, highlighting their applicability in detecting and mitigating various cyber threats, including spoofing, eavesdropping, and denial-of-service attacks. We highlight the transition from traditional signature-based to anomaly-based detection methods, emphasizing the significant advantages of AI-driven ap"
P020,DDoS Attack Detection in IoT-Based Networks Using Machine Learning Models: A Survey and Research Directions,2023.0,Electronics,Q2,81.0,6.3,INCLUDED,,"With the emergence of technology, the usage of IoT (Internet of Things) devices is said to be increasing in people’s lives. Such devices can benefit the average individual, who does not necessarily have to have technical knowledge. The IoT can be found in home security and alarm systems, smart fridges, smart televisions, and more. Although small Internet-connected devices have numerous benefits and can help enhance people’s efficiency, they also can pose a security threat. Malicious actors often attempt to find new ways to exploit and utilize certain resources, and IoT devices are a perfect candidate for such exploitation due to the huge volume of active devices. This is particularly true for Distributed Denial of Service (DDoS) attacks, which involve the exploitation of a massive number of devices, such as IoT devices, to act as bots and send fraudulent requests to services, thus obstructing them. To identify and detect whether such attacks have occurred or not in a network, there mus"
P021,Hardware-Assisted Machine Learning in Resource-Constrained IoT Environments for Security: Review and Future Prospective,2022.0,IEEE Access,Q1,77.0,6.6,INCLUDED,,"As the Internet of Things (IoT) technology advances, billions of multidisciplinary smart devices act in concert, rarely requiring human intervention, posing significant challenges in supporting trusted computing and user privacy, as well as protecting against attacks such as spoofing, denial of service (DoS), jamming, and eavesdropping. To tackle attacks on the IoT and cyber-physical ecosystem, many intrusion detection and security approaches have been presented in the literature. Machine learning (ML) based intrusion and anomaly detection has lately gained traction due to its capacity to cope with encrypted and rapidly developing threat techniques. This work investigates into machine learning (ML) and deep learning (DL) methodologies for IoT device security and examine the benefits, drawbacks, and potential. To protect an IoT infrastructure, various solutions look into hardware-based methods for ML-based IoT authentication, access control, secure offloading, and malware detection sche"
P022,Machine learning in business and finance: a literature review and research opportunities,2024.0,Financial Innovation,,63.0,5.05,INCLUDED,RQ1,"Abstract This study provides a comprehensive review of machine learning (ML) applications in the fields of business and finance. First, it introduces the most commonly used ML techniques and explores their diverse applications in marketing, stock analysis, demand forecasting, and energy marketing. In particular, this review critically analyzes over 100 articles and reveals a strong inclination toward deep learning techniques, such as deep neural, convolutional neural, and recurrent neural networks, which have garnered immense popularity in financial contexts owing to their remarkable performance. This review shows that ML techniques, particularly deep learning, demonstrate substantial potential for enhancing business decision-making processes and achieving more accurate and efficient predictions of financial outcomes. In particular, ML techniques exhibit promising research prospects in cryptocurrencies, financial crime detection, and marketing, underscoring the extensive opportunities "
P023,AI integration in financial services: a systematic review of trends and regulatory challenges,2025.0,Humanities and Social Sciences Communications,,57.0,5.05,INCLUDED,"RQ1,RQ2","The integration of Artificial Intelligence (AI) into financial services represents a developmental shift in the industry, presenting unprecedented opportunities and challenges. This scientometric review examines the evolution of AI in finance from 1989 to 2024, analyzing its pivotal applications in credit scoring, fraud detection, digital insurance, robo-advisory services, and financial inclusion. The analysis reveals significant trends, particularly the growing adoption of machine learning, natural language processing, and blockchain technologies in reshaping financial operations and decision-making processes. The review addresses critical regulatory and ethical challenges, emphasizing the imperative for explainable AI (XAI) and robust governance frameworks to ensure transparency, fairness, and accountability in AI-driven systems. Despite rapid advancements, persistent gaps remain, the most notable of which is the lack of standardized frameworks for AI implementation across financial "
P024,Research trends in deep learning and machine learning for cloud computing security,2024.0,Artificial Intelligence Review,Q1,49.0,7.65,INCLUDED,"RQ1,RQ3","Abstract Deep learning and machine learning show effectiveness in identifying and addressing cloud security threats. Despite the large number of articles published in this field, there remains a dearth of comprehensive reviews that synthesize the techniques, trends, and challenges of using deep learning and machine learning for cloud computing security. Accordingly, this paper aims to provide the most updated statistics on the development and research in cloud computing security utilizing deep learning and machine learning. Up to the middle of December 2023, 4051 publications were identified after we searched the Scopus database. This paper highlights key trend solutions for cloud computing security utilizing machine learning and deep learning, such as anomaly detection, security automation, and emerging technology's role. However, challenges such as data privacy, scalability, and explainability, among others, are also identified as challenges of using machine learning and deep learnin"
P025,Anomaly Detection of IoT Cyberattacks in Smart Cities Using Federated Learning and Split Learning,2024.0,Big Data and Cognitive Computing,Q2,49.0,7.3,INCLUDED,,"The swift proliferation of the Internet of Things (IoT) devices in smart city infrastructures has created an urgent demand for robust cybersecurity measures. These devices are susceptible to various cyberattacks that can jeopardize the security and functionality of urban systems. This research presents an innovative approach to identifying anomalies caused by IoT cyberattacks in smart cities. The proposed method harnesses federated and split learning and addresses the dual challenge of enhancing IoT network security while preserving data privacy. This study conducts extensive experiments using authentic datasets from smart cities. To compare the performance of classical machine learning algorithms and deep learning models for detecting anomalies, model effectiveness is assessed using precision, recall, F-1 score, accuracy, and training/deployment time. The findings demonstrate that federated learning and split learning have the potential to balance data privacy concerns with competitiv"
P026,Advanced Fraud Detection in Blockchain Transactions: An Ensemble Learning and Explainable AI Approach,2024.0,Engineering Technology & Applied Science Research,,44.0,5.6,INCLUDED,"RQ1,RQ2","In recent years, cryptocurrencies have experienced rapid growth and adoption, revolutionizing the financial sector. However, the rise of digital currencies has also led to an increase in fraudulent transactions and illegal activities. In this paper, we present a comprehensive study on the detection of fraudulent transactions in the context of cryptocurrency exchanges, with a primary focus on the Ethereum network. By employing various Machine Learning (ML) techniques and ensemble methods, including the hard voting ensemble model, which achieved a remarkable 99% accuracy, we aim to effectively identify suspicious transactions while maintaining high accuracy and precision. Additionally, we delve into the importance of eXplainable Artificial Intelligence (XAI) to enhance transparency, trust, and accountability in AI-based fraud detection systems. Our research contributes to the development of reliable and interpretable models that can significantly improve the cryptocurrency ecosystem secu"
P027,"Machine Learning Applications in Cryptocurrency: Detection, Prediction, and Behavioral Analysis of Bitcoin Market and Scam Activities in the USA",2025.0,International Journal of Sustainable Science and Technology,,26.0,5.05,INCLUDED,RQ1,"The rapid evolution of cryptocurrency markets, coupled with the escalating sophistication of fraudulent activities, has amplified the necessity for advanced machine learning (ML) methodologies to augment the detection, prediction, and behavioral analysis of Bitcoin transactions. Conventional approaches to fraud detection and market analysis frequently falter in capturing cryptocurrency ecosystems' intricate, dynamic, and exceedingly volatile essence. This research elucidates a data-driven framework that employs machine learning to identify scams, forecast Bitcoin market fluctuations, and scrutinize user behavior patterns within the U.S. cryptocurrency domain. By leveraging extensive Bitcoin transaction datasets enriched with features such as transaction volumes, timestamps, wallet activities, and anomaly indicators, the study deploys a diverse array of models: Random Forest, XGBoost, Logistic Regression, Support Vector Machines (SVMs), Graph Neural Networks (GNNs), Isolation Forest, an"
P028,Defense and Security Mechanisms in the Internet of Things: A Review,2025.0,Applied Sciences,Q2,20.0,6.9,INCLUDED,,"The Internet of Things (IoT) transforms traditional technology by introducing smart devices into almost every field, enabling real-time monitoring and automation. Despite the obvious benefits, the rapid deployment of IoT presents numerous security challenges, including vulnerabilities in network attacks and communication protocol weaknesses. While several surveys have addressed these aspects, there remains a lack of understanding of integrating all potential defense mechanisms, such as intrusion detection systems (IDSs), anomaly detection frameworks, and authentication protocols, into a comprehensive security framework. To overcome this, the following survey aims to critically review existing security mechanisms in IoT environments and significantly fill these gaps. In particular, this paper reviews state-of-the-art approaches for intrusion detection, key agreement protocols, and anomaly detection systems, pointing out their advantages and disadvantages and identifying the gaps in each"
P029,Artificial Intelligence in Maritime Cybersecurity: A Systematic Review of AI-Driven Threat Detection and Risk Mitigation Strategies,2025.0,Electronics,Q2,19.0,6.3,INCLUDED,,"The maritime industry is undergoing a digital transformation, integrating automation, artificial intelligence (AI), and the Internet of Things (IoT) to enhance operational efficiency and safety. However, this technological evolution has also increased cybersecurity vulnerabilities, exposing vessels, ports, and maritime communication networks to sophisticated cyber threats. This systematic review, conducted following the PRISMA guidelines, examines the current landscape of AI-driven cybersecurity solutions in maritime environments. By analyzing peer-reviewed studies and industry reports, this review identifies key AI methodologies, including machine-learning-based intrusion detection systems, anomaly detection mechanisms, predictive threat modeling, and AI-enhanced zero-trust architectures. This study assesses the effectiveness of these techniques in mitigating cyber risks, explores their implementation challenges, and highlights existing research gaps. The findings indicate that AI-pow"
P030,Edge-FLGuard: A Federated Learning Framework for Real-Time Anomaly Detection in 5G-Enabled IoT Ecosystems,2025.0,Applied Sciences,Q2,17.0,7.9,INCLUDED,,"The rapid convergence of 5G networks and Internet of Things (IoT) technologies has unlocked unprecedented connectivity and responsiveness across smart environments—but has also amplified cybersecurity risks due to device heterogeneity, data privacy concerns, and distributed attack surfaces. To address these challenges, we propose Edge-FLGuard, a federated learning and edge AI-based anomaly detection framework tailored for real-time protection in 5G-enabled IoT ecosystems. The framework integrates lightweight deep learning models—specifically autoencoders and LSTM networks—for on-device inference, combined with a privacy-preserving federated training pipeline to enable scalable, decentralized threat detection without raw data sharing. We evaluate Edge-FLGuard using both public (CICIDS2017, TON_IoT) and synthetic datasets under diverse attack scenarios including spoofing, DDoS, and unauthorized access. Experimental results demonstrate high detection accuracy (F1-score ≥ 0.91, AUC-ROC up "
P031,AI-Driven Anomaly Detection for Securing IoT Devices in 5G-Enabled Smart Cities,2025.0,Electronics,Q2,16.0,6.9,INCLUDED,,"This paper proposes a novel AI-driven anomaly detection framework designed to enhance cybersecurity in IoT-enabled smart cities operating over 5G networks. While prior research has explored deep learning for anomaly detection, most existing systems rely on single-model architectures, employ centralized training, or lack support for real-time, privacy-preserving deployment—limiting their scalability and robustness. To address these gaps, our system integrates a hybrid deep learning model combining autoencoders, long short-term memory (LSTM) networks, and convolutional neural networks (CNNs) to detect spatial, temporal, and reconstruction-based anomalies. Additionally, we implement federated learning and edge AI to enable decentralized, privacy-preserving threat detection across distributed IoT nodes. The system is trained and evaluated using a combination of real-world (CICIDS2017, TON_IoT, UNSW-NB15) and synthetically generated attack data, including adversarial perturbations. Experime"
P032,Generative AI revolution in cybersecurity: a comprehensive review of threat intelligence and operations,2025.0,Artificial Intelligence Review,Q1,14.0,7.05,INCLUDED,RQ1,"Abstract Cyber threats are increasingly frequent in today’s world, posing challenges for organizations and individuals to protect their data from cybercriminals. On the other hand, Generative Artificial Intelligence (GAI) technology offers an efficient way to automatically address these issues with the help of AI models and algorithms. It can work on more critical security aspects where human intervention is required and handle everyday threat situations autonomously. This research paper explores GAI in enhancing cybersecurity by leveraging AI Models and algorithms. GAI can autonomously address common security issues, detect novel threats, and augment human intervention in critical security aspects. Moreover, this research study also highlights autonomous security enhancements, improved security posture against emerging threats, anomaly detection, and threat response. Besides this, we have discussed the GAI limitations, such as occasional incorrect results, expensive training, and the "
